Ticker,Price,PE_Ratio,PB_Ratio,ROE,Debt_to_Equity,MarketCap
AAPL,259.48,28.025776,51.989582,1.7142199,152.411,3834168213504
MSFT,430.29,22.792982,8.178086,0.34390998,31.539,3195174125568
GOOGL,338.0,29.99009,10.551619,0.3545,11.424,4093897080832
AMZN,239.3,30.35735,6.918784,0.24327,43.405,2558168662016
META,716.5,20.772282,8.327812,0.30238,38.619,1812426522624
TSLA,430.41,143.4633,16.93061,0.04847,10.108,1615084257280
V,321.83,22.233059,20.343235,0.52068,68.807,621098827776
JPM,305.89,13.254018,2.4087536,0.16134001,,832712867840
JNJ,227.25,18.118628,6.897442,0.35557,57.766,547512320000
WMT,119.14,40.115696,9.883856,0.23661,66.747,949885468672
PG,151.77,20.738283,6.7474327,0.31562,68.719,354646032384
HD,374.59,24.898666,30.762093,1.62909,544.586,372908654592
MA,538.79,23.937614,62.259068,2.09915,245.288,481375289344
UNH,286.93,14.269948,2.6087153,0.12538,77.08,259912253440
DIS,112.8,15.378784,1.8387806,0.12203,39.632,201380593664
BAC,53.2,10.733878,1.383939,0.1019,,388492787712
PFE,26.44,8.897863,1.6199989,0.105979994,66.531,150330114048
KO,74.81,23.230827,10.300151,0.42442,144.771,321957330944
PEP,153.63,17.956598,10.848044,0.37162,260.19,210331336704
XOM,141.4,17.273666,2.2885442,0.11424,15.672,602823131136
CVX,176.9,19.778688,1.8762462,0.07316,21.239,356422057984
COST,940.25,42.32895,13.774135,0.30325,26.968,417431224320
AVGO,331.3,23.076942,5.594299,0.31048,166.032,1570783887360
ADBE,293.25,11.115815,10.419998,0.55426,57.266,122754449408
CRM,212.29,16.186956,3.3317637,0.12184,19.385,202100080640
NKE,61.81,26.723219,6.494012,0.17950001,80.099,91502493696
NFLX,83.49,21.858252,13.243972,0.42762002,63.782,354155364352
TMO,578.61,21.440125,4.051295,0.13024001,73.566,217388433408
CSCO,78.32,17.507582,6.579854,0.22418,63.228,309449719808
ABT,109.3,17.522007,3.7299936,0.13158,25.31,190232182784
